#  RA  Dec  l  b
204.413  -41.0736  312.229  20.9616
206.57  20.1302  6.69518  75.6365
205.061  -61.3238  308.746  0.995036
207.724  -13.0309  324.561  47.3275
206.801  -1.40279  330.348  58.4678
207.559  -16.415  322.765  44.1796
204.31  -40.5819  312.247  21.4591
207.228  -13.057  323.876  47.463
205.659  24.6292  23.5345  78.2216
204.99  -6.03669  324.191  54.8189
205.81  -34.3466  314.944  27.3131
203.097  -37.5041  311.849  24.6568
206.506  -43.3847  313.334  18.3809
207.703  -5.33027  328.987  54.5091
205.398  -45.3101  312.095  16.6666
204.949  -46.4084  311.549  15.6518
204.314  -48.3928  310.728  13.7834
204.289  -18.5076  317.822  43.0377
205.98  -40.6158  313.573  21.1682
205.331  -47.9415  311.502  14.0976
208.72  -17.6568  323.66  42.6459
209.218  33.9346  62.7243  74.3783
206.118  16.4818  354.719  73.7474
205.452  -21.87  318.128  39.5101
207.484  -23.7127  319.803  37.2343
203.207  -25.7824  314.48  36.1587
202.081  -14.5283  316.172  47.3923
206.014  -55.2634  310.429  6.83969
204.589  11.1443  339.785  70.5798
204.571  -52.1391  310.193  10.0701
204.363  -49.8128  310.495  12.3813
205.157  -48.7557  311.221  13.322
206.37  -39.5822  314.131  22.1105
205.76  -45.6782  312.275  16.2545
210.623  10.8995  352.176  66.7058
207.469  -19.2825  321.452  41.4772
205.171  16.3563  352.087  74.3099
204.966  -33.7867  314.312  28.0119
206.13  -39.7081  313.906  22.029
203.401  3.83306  328.131  64.621
205.489  -23.4937  317.652  37.929
207.03  -37.9595  315.081  23.5704
205.853  1.87447  331.362  61.8421
208.853  22.4859  18.6797  74.7724
207.676  32.9508  60.9393  75.9324
202.833  -28.389  313.473  33.6642
209.004  -40.4515  316.004  20.7742
204.516  -2.77034  325.347  58.057
203.785  -41.3402  311.679  20.7873
202.01  -7.36904  318.636  54.3823
205.325  -28.1467  316.109  33.4451
209.304  -4.48002  332.098  54.6228
207.646  -15.7942  323.151  44.742
200.615  -31.8941  310.567  30.5168
202.774  -38.1515  311.452  24.0626
