#  RA  Dec  l  b
207.845  -42.27  314.617  19.2366
203.338  -44.5822  310.737  17.6527
207.487  -34.2922  316.471  27.0357
204.045  -5.99663  322.657  55.1517
204.628  -17.5009  318.596  43.9336
205.31  -49.8123  311.109  12.2662
208.994  3.72432  339.096  61.9754
203.396  -33.9289  312.831  28.1307
206.592  -52.9075  311.26  9.07279
205.783  -36.5698  314.37  25.1503
203.908  -29.0754  314.419  32.808
205.118  33.6556  67.6149  77.5883
206.388  -33.9566  315.57  27.5828
203.814  -29.7363  314.166  32.177
206.323  -37.5855  314.582  24.064
205.661  -5.12373  325.827  55.4546
203.913  13.0496  341.399  72.531
207.605  -31.3119  317.45  29.8906
205.737  -9.74352  323.385  51.0703
205.402  6.55184  335.272  66.2205
206.567  -51.0669  311.646  10.8739
206.239  8.3735  339.435  67.3693
205.763  -12.1144  322.285  48.8074
205.917  -18.6175  319.816  42.5344
207.27  -15.0575  322.996  45.5558
204.383  41.0521  91.6023  73.1542
204.857  -18.699  318.47  42.7194
205.85  -23.3281  318.111  38.0064
203.501  -26.0118  314.744  35.881
203.521  -12.1894  319.038  49.3434
206.013  -26.1706  317.402  35.2175
206.09  7.68946  338.185  66.8656
208.353  16.0127  358.364  71.8336
207.595  46.2707  95.4607  67.5889
206.648  -20.8591  319.875  40.1903
204.035  -12.1352  319.804  49.2658
202.793  -9.97315  318.822  51.6678
202.735  -51.0685  309.234  11.3185
205.771  -6.07734  325.433  54.5215
204.084  -46.0458  311.009  16.1199
207.841  -19.023  322.005  41.6176
202.973  -9.75985  319.186  51.8299
205.399  -24.7692  317.16  36.7121
205.808  3.71896  333.025  63.5221
203.944  16.7884  349.975  75.4352
203.925  -0.104997  326.063  60.7626
208.767  -20.0311  322.683  40.3866
206.292  -7.21858  325.592  53.2719
208.473  -11.6414  326.306  48.3746
205.692  -6.00027  325.351  54.621
204.539  -34.6096  313.729  27.28
203.845  15.2615  345.862  74.343
206.885  -7.78585  326.174  52.5348
203.219  -54.7165  308.94  7.6704
206.421  -20.8047  319.627  40.3011
205.221  -17.6519  319.298  43.6422
206.673  -10.9106  324.162  49.6689
203.964  -38.3884  312.411  23.6637
205.736  -31.2233  315.685  30.3689
202.985  -17.5572  316.456  44.2477
203.098  32.9928  68.9109  79.3825
207.629  -21.1159  320.924  39.6819
204.729  -37.8884  313.163  24.0375
203.79  -31.6407  313.702  30.3143
206.652  -16.9934  321.369  43.8936
207.154  25.9357  30.8303  77.1627
205.772  -8.95089  323.843  51.8106
205.012  -18.2471  318.821  43.1191
205.686  -19.8639  319.083  41.3924
205.347  -48.3458  311.431  13.6991
202.757  5.1633  327.915  66.0952
204.193  -2.00473  325.264  58.8866
