#  RA  Dec  l  b
205.785  29.8479  409.424  78.3263
208.673  48.4998  457.263  65.3562
209.614  48.8428  456.557  64.7125
211.591  40.5639  438.704  69.5241
213.071  2.50545  344.536  58.6848
210.14  18.4302  367.876  71.876
211.856  47.761  452.261  64.5921
210.424  37.5352  432.457  71.9245
209.607  59.6912  468.062  55.462
208.098  48.5265  458.051  65.5528
212.741  54.5995  460.486  58.9276
214.338  0.163734  343.887  56.0453
211.128  40.9181  440.116  69.5998
208.629  45.6219  452.924  67.6583
210.734  29.7699  406.674  74.0804
212.428  18.5109  371.463  70.0458
209.616  12.2072  352.672  68.3332
210.953  53.1883  460.583  60.6877
213.011  36.9233  427.868  70.3679
210.318  37.3601  432.102  72.0847
211.989  51.7906  457.831  61.4481
210.541  7.1389  346.165  63.9014
210.464  32.1421  415.31  73.9214
209.564  52.4431  461.181  61.7727
208.638  -17.9478  323.43  42.3969
211.748  32.2434  414.798  72.8394
209.98  55.9809  464.481  58.6274
210.67  49.7985  456.627  63.5348
212.322  21.9162  380.752  71.5658
211.402  24.8459  389.287  73.1927
210.9  61.4186  468.454  53.6356
208.605  58.4143  467.865  56.8346
208.577  46.6118  454.6  66.9083
212.603  40.8177  438.068  68.7483
208.959  38.1294  436.132  72.5863
212.616  52.5599  458.174  60.6044
208.99  4.91182  340.464  62.9806
211.48  28.3149  401.367  73.4905
210.421  57.3264  465.356  57.3413
210.789  31.4897  412.805  73.7902
207.905  6.19507  339.983  64.6442
213.763  37.2835  428.116  69.6734
212.898  46.4749  448.958  65.0163
208.784  40.732  443.003  71.0966
208.215  47.0527  455.778  66.7072
210.921  47.6232  453.151  65.1138
210.857  45.2135  449.206  66.9142
211.664  44.7323  447.314  66.8421
212.359  50.2515  455.392  62.5017
208.861  49.9174  458.927  64.1232
210.855  48.8224  455.035  64.2246
213.192  -0.409308  341.609  56.2282
211.745  52.8945  459.444  60.6536
209.229  32.9994  419.413  74.6869
208.507  3.25446  337.697  61.8246
213.448  35.9725  424.849  70.4083
210.969  19.981  373.468  71.9523
210.896  37.8387  432.698  71.4486
210.393  9.03133  348.687  65.4636
211.913  41.178  439.715  68.9693
209.444  42.2565  445.394  69.7086
211.751  40.7689  438.981  69.3066
206.51  39.9383  444.923  72.9083
209.236  -13.5218  326.325  46.3521
212.638  -13.897  330.452  44.7046
208.733  54.9692  464.706  59.8562
210.995  48.8295  454.882  64.1608
212.796  35.4889  424.051  71.0753
211.703  40.4825  438.375  69.5013
209.81  26.7329  395.297  74.8943
211.554  41.7064  441.339  68.8676
213.711  41.5572  438.475  67.6445
210.653  40.1645  438.973  70.3381
211.565  34.5869  422.467  72.3334
209.986  46.1279  451.918  66.6602
211.17  9.37954  350.623  65.2225
209.877  8.11646  346.361  65.0767
210.032  8.31751  346.943  65.1387
214.308  -28.1575  325.019  31.0071
211.606  46.8809  451.139  65.3525
208.904  50.2641  459.317  63.8204
207.639  21.2286  372.462  75.2974
212.509  58.8675  465.071  55.4525
209.054  26.2415  393.096  75.5135
211.786  49.9184  455.543  62.9928
211.435  56.653  463.83  57.6352
211.909  28.8006  403.047  73.11
210.257  36.9669  431.057  72.3191
211.499  54.3792  461.393  59.5217
212.476  55.1161  461.302  58.5949
212.466  46.8962  450.159  64.9324
209.48  35.2627  426.843  73.6537
209.994  63.6987  470.744  51.7784
209.687  46.9379  453.624  66.178
210.822  -3.43852  335.256  54.8588
206.852  41.2939  447.445  71.7594
209.807  56.0301  464.69  58.6334
208.797  46.8871  454.727  66.5983
211.608  49.8633  455.662  63.1081
210.589  22.463  380.632  73.26
210.674  2.52244  340.689  60.0616
212.608  27.7827  399.63  72.482
208.5  52.3111  462.208  62.2279
210.534  57.0659  465.015  57.5362
211.39  37.6414  431.564  71.2048
210.864  22.974  382.591  73.1863
210.734  45.9132  450.588  66.4694
213.164  27.1207  397.568  71.9485
213.017  41.7526  439.677  67.9617
209.739  47.5718  454.54  65.6646
207.844  40.7779  444.603  71.5936
211.542  42.8606  443.809  68.1507
210.88  15.2567  361.251  69.4705
208.451  17.9558  363.63  72.9521
208.897  55.2228  464.786  59.5888
209.655  48.9425  456.645  64.6163
211.128  45.5967  449.542  66.5075
209.521  51.5662  460.203  62.5215
210.528  49.9677  457.021  63.4562
211.398  33.1866  418.148  72.8948
210.278  59.244  467.161  55.7007
209.287  36.5263  431.034  73.2127
209.921  13.1986  355.172  68.8211
211.253  58.3238  465.569  56.2561
211.081  27.5815  398.729  73.8244
210.329  31.3309  412.512  74.2063
207.511  34.6702  427.512  75.363
211.016  30.6112  409.591  73.7427
210.858  27.5637  398.632  74.0207
207.6  42.2795  448.283  70.6595
212.336  63.9805  469.466  51.0636
210.902  -11.7315  329.528  47.3779
208.513  32.5162  418.35  75.4087
209.691  27.5378  398.368  75.0538
208.213  40.57  443.519  71.5279
210.66  31.6711  413.522  73.8627
214.436  53.1895  457.255  59.4244
212.823  12.3317  358.496  66.1482
208.917  54.529  464.088  60.1878
212.348  19.7093  374.516  70.6694
209.676  58.0522  466.645  56.8994
210.653  62.9937  469.814  52.2851
207.21  24.2635  383.622  76.764
208.059  48.7026  458.342  65.4221
207.926  -1.03159  332.592  58.3254
210.667  -26.7949  322.015  33.4224
209.417  22.7833  380.408  74.3868
210.926  26.5151  394.867  73.879
211.854  48.5375  453.46  64.0153
209.055  42.9232  447.34  69.4522
208.119  23.0388  379.788  75.5993
209.741  31.0601  411.872  74.7509
207.849  27.1176  396.311  76.6671
211.078  39.8238  437.59  70.2692
213.46  48.0584  450.95  63.6347
209.436  35.8436  428.739  73.4297
209.317  42.9711  447.053  69.282
210.139  4.30941  341.807  61.8458
209.35  57.9621  466.848  57.0597
208.434  28.543  402.407  76.1652
210.887  46.6424  451.622  65.8622
